Id,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age_Bin,Tenure_Bin,Predicted_Probability,Persona_Flag,Segment,rank,Percentile,Campaign_Target_Flag
1501,PhD,Married,83926.99999999994,0,0,21,55.0,16.0,687.0999999999995,17.0,3.0,4.0,6.0,0.0,9.0,1,0.0,0,0,25-34,25-36,0.9099037680933719,True,High,64.0,0.02857142857142857,True
8475,PhD,Married,83926.99999999994,0,1,98,20.0,2.0,687.0999999999995,1.0,2.0,1.0,6.0,0.0,9.0,0,0.0,0,0,35-44,7-12,0.07862835716673174,False,Low,1984.0,0.8857142857142857,False
8720,Unknown,Married,51381.5,0,0,53,32.0,2.0,687.0999999999995,12.0,4.0,22.0,0.0,0.0,0.0,1,0.0,0,0,35-44,19-24,0.23760645171672196,False,Low,1444.0,0.6446428571428572,False
5555,Graduation,Divorced,83926.99999999994,0,0,81,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,35-44,0-6,0.09242358578806435,False,Low,1936.0,0.8642857142857143,False
11181,PhD,Married,83926.99999999994,0,0,85,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,65+,13-18,0.10101248781404615,False,Low,1896.0,0.8464285714285714,False
6237,PhD,Single,7144.0,0,2,92,81.0,4.0,33.0,5.0,2.0,165.04999999999973,0.0,9.0,1.0,1,0.0,0,0,45-54,13-18,0.2069240909141371,False,Low,1535.0,0.6852678571428571,False
11074,Graduation,Single,85072.0,0,0,94,494.0,123.0,391.0,168.04999999999973,11.0,165.04999999999973,1.0,3.0,4.0,10,0.0,0,0,35-44,0-6,0.29553034225664715,False,Low,1269.0,0.5665178571428572,False
5832,Unknown,Married,92556.0,0,0,32,493.0,123.0,352.0,168.04999999999973,23.0,28.0,0.0,3.0,5.0,13,0.0,0,0,55-64,7-12,0.21334318921112022,False,Low,1509.0,0.6736607142857143,False
8584,PhD,Married,85431.0,0,0,54,376.0,53.0,462.0,168.04999999999973,53.0,53.0,1.0,2.0,7.0,7,0.0,0,0,55-64,13-18,0.42625013029869024,False,Low,888.0,0.3964285714285714,True
10286,Graduation,Married,83715.0,0,0,2,318.0,8.0,407.0,168.04999999999973,35.0,8.0,1.0,2.0,8.0,13,0.0,0,0,45-54,7-12,0.4804428652756882,False,Low,761.0,0.33973214285714287,True
6428,PhD,Widow,76842.0,0,0,37,605.0,10.0,345.0,84.0,54.0,32.0,1.0,1.0,8.0,7,0.0,0,0,65+,7-12,0.6996544052547564,True,Medium,373.0,0.16651785714285713,True
4931,Graduation,Married,83926.99999999994,0,0,13,1.0,0.0,687.0999999999995,2.0,1.0,1.0,0.0,0.0,9.0,0,1.0,0,0,35-44,19-24,0.5740092774652898,True,Medium,575.0,0.25669642857142855,True
5376,Graduation,Married,2447.0,1,0,42,1.0,1.0,687.0999999999995,1.0,1.0,1.0,6.0,0.0,9.0,0,1.0,0,0,35-44,13-18,0.31598727289854667,False,Low,1203.0,0.5370535714285715,False
10311,Graduation,Married,4428.0,0,1,0,16.0,4.0,12.0,2.0,4.0,165.04999999999973,0.0,9.0,0.0,0,1.0,0,0,45-54,19-24,0.46648813379783943,False,Low,794.0,0.35446428571428573,True
4619,PhD,Single,113734.0,0,0,9,6.0,2.0,3.0,1.0,126.0,3.0,0.0,9.0,0.0,0,1.0,0,0,65+,0-6,0.6438455945218898,True,Medium,459.0,0.20491071428571428,True
5255,Graduation,Single,51381.5,1,0,19,5.0,1.0,3.0,3.0,126.0,165.04999999999973,0.0,9.0,0.0,0,1.0,0,0,25-34,19-24,0.7366106749500044,True,Medium,311.0,0.13883928571428572,True
1503,PhD,Married,83926.99999999994,1,1,31,85.0,1.0,16.0,2.0,1.0,2.0,0.0,0.0,0.0,1,1.0,0,0,35-44,19-24,0.37114206713508424,False,Low,1040.0,0.4642857142857143,False
5336,Master,Married,83926.99999999994,1,0,37,39.0,1.0,9.0,2.0,0.0,8.0,0.0,1.0,0.0,1,1.0,0,0,35-44,19-24,0.27694469126250043,False,Low,1336.0,0.5964285714285714,False
2544,Master,Divorced,57530.0,0,1,68,50.0,1.0,27.0,6.0,7.0,1.0,1.0,1.0,1.0,4,1.0,0,0,55-64,7-12,0.10020095895508864,False,Low,1902.0,0.8491071428571428,False
7959,Graduation,Married,79410.0,0,0,19,658.0,80.0,483.0,168.04999999999973,13.0,13.0,1.0,3.0,2.0,5,1.0,0,0,45-54,0-6,0.5519699993406438,True,Medium,614.0,0.2741071428571429,True
10479,PhD,Married,76618.0,0,0,64,749.0,40.0,294.0,168.04999999999973,126.0,165.04999999999973,1.0,3.0,2.0,5,1.0,0,0,35-44,25-36,0.8273608520999018,True,High,184.0,0.08214285714285714,True
4597,PhD,Married,82072.0,0,0,67,889.0,55.0,687.0999999999995,168.04999999999973,126.0,165.04999999999973,1.0,3.0,2.0,13,1.0,0,0,45-54,19-24,0.7133289832855494,True,Medium,346.0,0.15446428571428572,True
10742,PhD,Married,86580.0,0,0,72,532.0,21.0,127.0,26.0,20.0,20.0,0.0,4.0,2.0,5,1.0,0,0,25-34,19-24,0.43038324452480087,False,Low,876.0,0.39107142857142857,True
9937,Graduation,Single,70337.0,0,0,75,187.0,81.0,149.0,25.0,43.0,91.0,1.0,2.0,2.0,12,1.0,0,0,35-44,7-12,0.18650959943664172,False,Low,1599.0,0.7138392857142857,False
6810,Graduation,Divorced,82025.0,0,0,76,267.0,123.0,687.0999999999995,48.0,70.0,98.0,1.0,3.0,2.0,6,1.0,1,0,25-34,19-24,0.6412123996159194,True,Medium,465.0,0.20758928571428573,True
375,Graduation,Divorced,76773.0,0,0,79,516.0,56.0,449.0,86.0,33.0,16.0,1.0,2.0,2.0,11,1.0,0,0,55-64,19-24,0.37198035855757117,False,Low,1038.0,0.46339285714285716,False
4682,Graduation,Married,51876.0,0,0,88,99.0,27.0,102.0,28.0,48.0,6.0,1.0,2.0,2.0,8,1.0,0,0,55-64,13-18,0.05512799729032062,False,Low,2086.0,0.93125,False
7962,PhD,Single,95169.0,0,0,1,1000.0,21.0,449.0,106.0,20.0,20.0,1.0,4.0,3.0,4,1.0,1,0,25-34,13-18,0.9727456641845361,True,High,5.0,0.002232142857142857,True
2681,Unknown,Married,65370.0,0,0,1,71.0,22.0,112.0,168.04999999999973,126.0,29.0,1.0,2.0,3.0,13,1.0,0,0,25-34,19-24,0.6176581509178231,True,Medium,503.0,0.22455357142857144,True
6184,PhD,Married,68462.0,0,0,6,561.0,64.0,687.0999999999995,84.0,126.0,48.0,1.0,3.0,3.0,8,1.0,0,0,45-54,19-24,0.8794718942246026,True,High,105.0,0.046875,True
291,Graduation,Married,72940.0,0,0,13,182.0,74.0,298.0,168.04999999999973,126.0,116.0,1.0,3.0,3.0,6,1.0,0,0,45-54,13-18,0.5801035772004683,True,Medium,564.0,0.2517857142857143,True
2613,Master,Married,54197.0,0,1,16,162.0,6.0,37.0,6.0,13.0,13.0,2.0,1.0,3.0,6,1.0,0,0,55-64,7-12,0.1970822648267407,False,Low,1560.0,0.6964285714285714,False
7828,Master,Married,77882.0,0,0,29,68.0,123.0,396.0,168.04999999999973,22.0,15.0,1.0,3.0,3.0,5,1.0,0,0,25-34,7-12,0.4590447938625032,False,Low,808.0,0.3607142857142857,True
7718,Master,Married,66000.0,0,0,36,244.0,51.0,270.0,101.0,0.0,45.0,1.0,1.0,3.0,5,1.0,0,0,65+,7-12,0.28603553160763406,False,Low,1299.0,0.5799107142857143,False
7119,Graduation,Single,68627.0,0,0,45,395.0,15.0,263.0,60.0,54.0,38.0,1.0,2.0,3.0,6,1.0,0,0,25-34,7-12,0.5355838201807558,False,Low,644.0,0.2875,True
10972,Graduation,Widow,72298.0,0,0,52,625.0,35.0,169.0,58.0,17.0,35.0,1.0,4.0,3.0,6,1.0,0,0,65+,0-6,0.45889369467405566,False,Low,809.0,0.3611607142857143,True
4790,Graduation,Divorced,79803.0,0,1,54,574.0,8.0,216.0,21.0,16.0,33.0,1.0,4.0,3.0,5,1.0,0,0,55-64,7-12,0.24663988720563265,False,Low,1409.0,0.6290178571428572,False
10245,Unknown,Single,80910.0,0,0,71,160.0,80.0,369.0,67.0,39.0,41.0,1.0,3.0,3.0,8,1.0,0,0,25-34,25-36,0.7089820690549228,True,Medium,355.0,0.15848214285714285,True
8093,Master,Married,79734.0,0,0,72,572.0,8.0,232.0,23.0,62.0,17.0,1.0,4.0,3.0,6,1.0,0,0,45-54,0-6,0.16409935481399082,False,Low,1675.0,0.7477678571428571,False
3503,Graduation,Divorced,82460.0,0,0,78,255.0,47.0,687.0999999999995,52.0,32.0,15.0,1.0,5.0,3.0,6,1.0,0,0,65+,19-24,0.4548127160039101,False,Low,827.0,0.3691964285714286,True
1743,Graduation,Single,69719.0,0,0,99,273.0,123.0,208.0,168.04999999999973,14.0,43.0,1.0,2.0,3.0,5,1.0,0,0,35-44,0-6,0.1612159580202138,False,Low,1689.0,0.7540178571428572,False
1826,Graduation,Divorced,84835.0,0,0,0,189.0,123.0,379.0,111.0,126.0,165.04999999999973,1.0,4.0,4.0,6,1.0,1,0,45-54,0-6,0.767589792401109,True,High,269.0,0.12008928571428572,True
8545,Graduation,Divorced,85683.0,0,0,6,1000.0,17.0,311.0,45.0,69.0,51.0,1.0,2.0,4.0,10,1.0,1,0,55-64,7-12,0.7445004536258838,True,Medium,295.0,0.13169642857142858,True
11056,Graduation,Married,72099.0,0,0,18,546.0,123.0,410.0,119.0,0.0,22.0,1.0,3.0,4.0,10,1.0,0,0,35-44,25-36,0.8722352119809728,True,High,122.0,0.054464285714285715,True
1361,Master,Married,82584.0,0,0,26,1076.0,68.0,103.0,29.0,126.0,68.0,1.0,3.0,4.0,8,1.0,1,0,35-44,19-24,0.7594705235614294,True,High,277.0,0.12366071428571429,True
8029,Master,Single,90247.0,0,0,27,1184.0,32.0,352.0,21.0,16.0,16.0,1.0,3.0,4.0,7,1.0,1,0,25-34,7-12,0.8683575257646133,True,High,127.0,0.05669642857142857,True
10981,Graduation,Married,84219.0,0,0,27,434.0,123.0,400.0,45.0,126.0,45.0,1.0,3.0,4.0,10,1.0,0,0,25-34,7-12,0.5234364251940958,False,Low,671.0,0.2995535714285714,True
486,Graduation,Married,84219.0,0,0,27,434.0,123.0,400.0,45.0,126.0,45.0,1.0,3.0,4.0,10,1.0,0,0,25-34,7-12,0.5234364251940958,False,Low,672.0,0.3,True
6652,Graduation,Married,77343.0,0,0,28,227.0,123.0,687.0999999999995,98.0,54.0,31.0,1.0,3.0,4.0,9,1.0,0,0,45-54,0-6,0.4298117343998332,False,Low,880.0,0.39285714285714285,True
